Planet,Expedition,ExpeditionStart,ExpeditionTeam,TeamGruendung,TeamLeiter,TeamSpezialgebiet,Spezies,SpeziesEigenschaft,SpeziesNahrungsquelle,SpeziesTechnologiestufe,Allianz,AllianzGruendung,AllianzRessource,AllianzStrategie
Ganymede,Vortex Recon,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Polarnikanten,Kälteschlaf-Fähigkeit,Gletscherfische,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Callisto,Celestial Trek,2120,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Proxima b,Sol Expedition,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Syleniden,Flügel und biolumineszente Haut,Photosynthese,Moderate,Kristallwächter-Allianz,2125,Geothermische Kristalle,Schallschockwellen-Abwehrsysteme
Callisto,Hyperion Search,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Glazioner,Lebenszyklus im Eis,Subpolare Pilze,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Europa,Aurora Mission,2121,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Proxima b,Celestial Voyage,2124,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Enceladus,Odyssey Survey,2123,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Europa,Horizon Exploration,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Proxima b,Zenith Probe,2125,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Enceladus,Atlas Survey,2126,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Proxima b,Voyager Mission,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Enceladus,Eclipse Survey,2128,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Enceladus,Aether Quest,2124,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Proxima b,Polaris Exploration,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Europa,Horizon Trek,2127,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Europa,Andromeda Exploration,2129,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Aquafarer,Tiefseetauchen,Krill-ähnliche Kreaturen,Moderate,Tiefwasser-Allianz,2122,Subglaziale Gase,Kaltstrahlen-Technologie
Enceladus,Halo Survey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Proxima b,Sol Expedition,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Lithovoren,Steinverdauung,Gestein und Mineralien,Niedrig,Gesteinsbund,2130,Seltene Gesteine,Magnetische Störfelder
Enceladus,Borealis Recon,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Lumen-Partnerschaft,2115,Elektromagnetische Kristalle,Schwarmbasierte Tarnung
Enceladus,Odyssey Survey,2123,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Enceladus,Atlas Survey,2126,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Enceladus,Eclipse Survey,2128,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Enceladus,Aether Quest,2124,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Enceladus,Halo Survey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Enceladus,Borealis Recon,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Hydrokroner,Schalldampfung,Hydrothermalbakterien,Niedrig,Frostwacht-Allianz,2120,Eis-Mineralien,Eisbasierte Verteidigungsanlagen
Titan,Titan Survey,2121,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Titan,Alpha Recon,2122,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Enceladus,Odyssey Survey,2123,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Enceladus,Atlas Survey,2126,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Titan,Discovery Trek,2127,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Enceladus,Eclipse Survey,2128,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Titan,Titan Expedition,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Enceladus,Aether Quest,2124,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Titan,Galaxy Quest,2128,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Enceladus,Halo Survey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Titan,Infinity Voyage,2121,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Enceladus,Borealis Recon,2124,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Nivianer,Eiskristall-Hörner,Mikroalgen,Niedrig,,,,
Titan,Celestial Journey,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Obeliten,Steinformation zur Verteidigung,Fossile Gase,Niedrig,,,,
Mars,Phoenix Discovery,2120,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Prometheus Search,2123,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Nebula Trek,2125,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Quantum Quest,2128,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Andromeda Survey,2130,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Phoenix Voyage,2127,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Comet Mission,2129,Red Explorers,2095,Dr. Zorin,Geologische Forschung auf felsigen Planeten,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Mars,Eclipse Mission,2123,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Marsianer,Extrem widerstandsfähig,Steinpilze,Niedrig,,,,
Ganymede,Nebula Quest,2122,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Kryostralier,Telepathische Kommunikation,Subglaziale Mikroorganismen,Moderat,,,,
Ganymede,Aurora Recon,2126,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Kryostralier,Telepathische Kommunikation,Subglaziale Mikroorganismen,Moderat,,,,
Ganymede,Hyperion Journey,2130,Titan Guardians,2105,Dr. Zenith,Überleben und Anpassung in extremen Kältebedingungen,Kryostralier,Telepathische Kommunikation,Subglaziale Mikroorganismen,Moderat,,,,
Ganymede,Nimbus Search,2125,Blue Pioneers,2088,Prof. Laro,Analyse extraterrestrischer Atmosphären,Kryostralier,Telepathische Kommunikation,Subglaziale Mikroorganismen,Moderat,,,,
Ganymede,Vortex Recon,2130,Proxima Seekers,2101,Capt. Vora,Langstreckenkommunikation und interstellare Navigation,Kryostralier,Telepathische Kommunikation,Subglaziale Mikroorganismen,Moderat,,,,
